satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0.11,0.36,3,305,8,0,0,0,marketing,medium
0.68,0.74,4,197,8,0,0,0,finance,medium
0.5,0.36,2,109,6,0,0,0,marketing,high
0.64,0.67,6,295,10,0,0,0,management,low
0.55,0.54,2,207,5,0,0,0,IT,low
0.3,0.46,5,197,8,0,0,0,finance,low
0.61,0.5,5,281,8,0,0,0,hr,low
0.47,0.36,2,100,9,0,0,0,IT,medium
0.29,0.36,6,102,6,1,0,0,IT,low
0.39,0.86,6,245,7,0,0,0,product_mng,medium
0.21,0.56,7,265,3,0,0,0,product_mng,low
0.97,0.42,4,291,3,0,0,0,support,medium
0.09,0.89,7,123,7,1,1,0,finance,low
0.07,0.7,5,108,6,0,0,0,hr,high
0.23,0.65,4,136,4,1,0,0,product_mng,low
0.46,0.77,6,171,3,0,0,0,IT,medium
0.16,0.74,6,128,9,0,0,0,RandD,medium
0.18,0.78,3,215,3,1,0,0,IT,low
0.45,0.38,3,196,5,0,0,0,product_mng,low
0.35,0.56,2,176,3,0,0,0,management,low
0.41,0.75,7,226,5,0,0,0,support,medium
0.58,0.87,4,101,6,1,0,0,support,medium
0.28,0.69,3,159,10,0,1,0,finance,low
0.33,0.36,5,299,10,0,0,0,RandD,low
0.25,0.71,5,214,3,0,0,0,technical,medium
0.35,0.79,7,304,10,0,0,0,support,low
0.34,0.97,4,211,7,0,1,0,marketing,medium
0.49,0.65,5,149,6,0,0,0,hr,low
0.55,0.53,3,147,3,0,0,0,finance,low
0.52,0.51,2,263,6,0,0,0,technical,low
0.14,0.8,7,286,6,0,0,0,IT,medium
0.3,0.56,7,212,2,1,0,0,finance,low
0.25,0.36,7,287,10,0,0,0,sales,medium
0.36,0.51,3,306,7,1,0,0,product_mng,medium
0.68,0.46,3,227,10,1,1,0,IT,medium
0.21,0.6,6,261,5,1,1,0,management,low
0.25,0.78,3,305,8,0,1,0,support,medium
0.36,0.65,5,261,8,0,0,0,sales,medium
0.29,0.95,2,230,7,0,0,0,finance,low
0.25,0.66,3,119,2,0,0,0,product_mng,medium
0.42,0.37,5,131,10,0,1,0,RandD,medium
0.38,0.81,5,268,5,0,1,0,support,medium
0.23,0.56,2,204,2,0,0,0,hr,low
0.1,0.81,4,247,7,0,0,0,marketing,medium
0.63,0.37,7,217,6,0,0,0,marketing,low
0.25,0.53,4,277,8,0,0,0,RandD,medium
0.79,0.66,4,306,3,0,0,0,product_mng,medium
0.7,0.7,7,131,7,0,0,0,product_mng,medium
0.51,0.42,4,114,5,1,0,0,sales,low
0.17,0.48,4,246,2,0,0,0,marketing,low
0.23,0.4,2,174,6,0,0,0,sales,medium
0.38,0.53,5,244,3,0,0,0,finance,low
0.23,0.57,6,203,7,0,0,0,sales,low
0.34,0.36,2,221,8,0,1,0,hr,medium
0.06,0.8,5,177,7,0,0,0,RandD,medium
0.62,0.42,4,245,7,0,0,0,RandD,medium
0.47,0.36,6,142,4,0,1,0,product_mng,medium
0.32,0.45,5,183,3,0,1,0,management,low
0.83,0.92,2,170,6,0,1,0,technical,low
0.25,0.79,4,234,4,0,0,0,sales,low
0.83,0.81,6,188,5,0,1,0,sales,medium
0.1,0.36,5,148,10,0,0,0,hr,medium
0.06,0.36,4,293,6,0,0,0,finance,medium
0.61,0.79,7,245,5,0,1,0,marketing,low
0.26,0.61,2,97,9,0,0,0,IT,medium
0.41,0.58,7,128,9,0,1,0,product_mng,low
0.54,0.42,5,182,7,0,1,0,marketing,medium
0.68,0.62,6,249,2,0,1,0,finance,high
0.23,0.41,5,152,9,1,1,0,hr,medium
0.4,0.61,6,229,3,1,0,0,product_mng,low
0.37,0.79,4,164,8,0,0,0,management,medium
0.06,0.44,3,153,9,1,1,0,support,medium
0.44,0.59,3,176,9,0,1,0,IT,medium
0.52,0.36,5,113,5,0,0,0,management,medium
0.48,0.36,2,270,9,0,1,0,sales,high
0.43,0.54,7,150,6,0,0,0,IT,low
0.53,0.85,4,164,7,1,0,0,RandD,low
0.54,0.52,4,149,9,0,0,0,sales,low
0.22,0.36,5,188,9,0,1,0,IT,low
0.77,0.36,4,255,6,0,0,0,product_mng,high
0.59,0.71,5,194,10,0,0,0,hr,medium
0.29,0.73,5,296,7,0,0,0,IT,low
0.26,0.36,2,106,3,0,1,0,sales,medium
0.29,0.71,3,177,2,0,1,0,support,low
0.5,0.65,3,190,7,0,0,0,support,medium
0.62,0.44,7,259,3,0,0,0,hr,low
0.76,0.89,4,273,2,0,0,0,hr,medium
0.31,0.67,3,96,10,0,0,0,management,medium
0.15,0.59,6,189,7,1,0,0,management,low
0.27,0.69,2,167,10,0,0,0,RandD,medium
0.22,0.84,4,197,8,0,0,0,IT,low
0.54,0.71,2,239,6,0,0,0,technical,medium
0.3,0.75,7,97,8,0,0,0,RandD,medium
0.26,0.77,3,127,2,0,1,0,IT,medium
0.31,0.56,6,285,7,0,1,0,product_mng,medium
0.26,0.62,4,222,10,0,0,0,product_mng,medium
0.21,0.47,7,270,10,0,0,0,management,low
0.71,0.42,2,188,4,1,0,0,technical,low
0.2,0.44,5,160,6,1,0,0,IT,medium
0.53,0.86,2,163,9,0,0,0,marketing,low
0.13,0.36,3,191,2,1,1,0,hr,medium
0.49,0.47,7,252,5,0,0,0,support,low
0.77,0.73,5,217,6,0,0,0,RandD,low
0.22,0.4,2,149,3,0,0,0,product_mng,low
0.19,0.36,7,273,4,0,1,0,RandD,medium
0.33,0.87,7,210,5,0,0,0,support,medium
0.14,0.39,7,99,8,0,0,0,marketing,low
0.18,0.66,4,164,6,0,0,0,management,low
0.89,0.36,3,303,9,1,0,0,technical,medium
0.58,0.75,6,218,5,0,0,0,finance,low
0.17,0.53,6,242,8,0,0,0,finance,low
0.64,0.65,7,265,3,0,1,0,technical,medium
0.27,0.41,4,235,5,0,1,0,marketing,low
0.45,0.77,5,172,3,0,0,0,product_mng,medium
0.35,0.36,4,271,9,0,0,0,management,low
0.59,0.36,4,282,8,0,1,0,product_mng,medium
0.47,0.61,6,283,10,0,0,0,product_mng,medium
0.23,0.6,4,212,7,0,1,0,support,medium
0.18,0.78,5,148,10,0,1,0,sales,low
0.13,0.64,4,148,7,0,0,0,finance,low
0.52,0.87,2,308,6,0,1,0,technical,medium
0.12,0.67,4,243,6,0,0,0,hr,low
0.37,0.47,3,260,6,0,0,0,technical,medium
0.36,0.61,7,179,7,0,1,0,management,medium
0.32,0.63,2,306,5,0,0,0,sales,low
0.46,0.54,6,189,9,0,0,0,product_mng,low
0.15,0.53,5,175,7,1,1,0,finance,low
0.16,0.78,7,227,7,0,1,0,support,medium
0.49,0.79,3,106,6,0,0,0,product_mng,low
0.24,0.89,7,172,5,0,1,0,support,medium
0.51,0.89,6,245,9,0,0,0,management,low
0.37,0.77,3,178,5,1,0,0,hr,medium
0.49,0.59,6,106,6,0,0,0,marketing,low
0.29,0.66,7,209,8,0,0,0,product_mng,high
0.21,0.48,6,280,6,0,0,0,management,low
0.8,0.89,4,147,8,0,0,0,technical,medium
0.84,0.65,4,296,7,1,0,0,support,medium
0.73,0.36,5,130,7,0,0,0,management,high
0.44,0.36,7,125,3,0,0,0,support,medium
0.37,0.63,2,180,9,0,0,0,marketing,low
0.09,0.86,7,96,4,0,1,0,technical,low
0.43,0.36,2,99,2,0,0,0,marketing,low
0.22,0.67,5,250,7,0,0,0,finance,medium
0.13,0.84,4,270,3,0,1,0,sales,low
0.43,0.36,6,112,3,0,0,0,technical,low
0.84,0.39,7,277,4,0,0,0,finance,low
0.12,0.76,2,138,3,0,0,0,hr,low
0.33,0.36,7,142,3,0,1,0,management,low
0.24,0.36,6,108,5,0,0,0,IT,medium
0.49,0.42,7,211,4,0,0,0,marketing,low
0.51,0.36,5,263,4,0,0,0,management,low
0.27,0.43,4,250,9,0,0,0,marketing,low
0.26,0.83,6,265,7,0,0,0,product_mng,low
0.56,0.36,5,255,10,0,0,0,technical,medium
0.21,0.97,7,138,8,0,0,0,hr,medium
0.12,0.67,7,105,3,0,0,0,technical,medium
0.44,0.52,4,214,2,0,0,0,support,low
0.38,0.75,7,132,7,0,0,0,hr,low
0.4,0.56,2,102,10,0,0,0,marketing,low
0.61,0.65,4,106,6,1,1,0,finance,low
0.57,0.52,4,200,5,0,0,0,RandD,low
0.38,0.36,3,207,8,0,0,0,finance,medium
0.35,0.81,6,152,6,0,1,0,marketing,low
0.2,0.71,6,174,8,0,0,0,IT,medium
0.12,0.85,2,224,4,0,1,0,finance,low
0.38,0.77,3,218,3,0,1,0,product_mng,medium
0.53,0.79,3,112,9,0,0,0,finance,low
0.64,0.42,3,161,6,0,0,0,finance,low
0.68,0.89,7,199,2,0,0,0,hr,low
0.68,0.39,2,252,10,0,0,0,hr,medium
0.5,0.57,7,219,3,0,1,0,finance,medium
0.25,0.66,2,285,4,0,0,0,IT,low
0.3,0.55,3,153,2,0,1,0,technical,high
0.54,0.69,4,143,10,1,0,0,technical,low
0.43,0.58,7,158,9,0,0,0,IT,low
0.58,0.88,5,96,6,0,0,0,sales,medium
0.38,0.8,3,283,6,0,1,0,hr,low
0.39,0.91,7,134,7,0,0,0,finance,low
0.36,0.76,4,264,5,0,0,0,sales,low
0.3,0.91,3,292,6,0,0,0,IT,medium
0.75,0.68,5,266,7,1,0,0,sales,medium
0.28,0.69,3,270,6,0,0,0,finance,low
0.47,0.69,2,217,9,1,0,0,hr,medium
0.24,0.36,3,240,4,0,0,0,hr,low
0.73,0.49,4,209,8,0,0,0,finance,medium
0.18,0.89,6,240,5,0,0,0,marketing,medium
0.21,0.36,2,125,4,0,0,0,sales,low
0.59,0.88,6,198,5,0,1,0,finance,medium
0.46,0.74,5,212,10,0,0,0,support,medium
0.3,0.67,5,106,6,0,1,0,IT,low
0.52,0.43,4,277,3,0,0,0,sales,low
0.36,0.58,6,202,2,0,0,0,management,medium
0.29,0.95,6,243,3,0,0,0,technical,medium
0.31,0.36,2,299,10,0,0,0,management,low
0.67,0.73,2,263,2,0,0,0,sales,low
0.55,0.52,3,101,8,0,0,0,finance,low
0.49,0.83,2,226,6,1,0,0,sales,medium
0.4,0.67,4,229,4,0,0,0,finance,low
0.33,0.53,4,215,3,0,0,0,RandD,medium
0.26,0.79,6,264,8,0,0,0,finance,low
0.63,0.78,2,272,9,1,0,0,RandD,medium
0.14,0.41,2,196,8,0,0,0,product_mng,medium
0.1,0.44,4,117,8,0,0,0,IT,low
0.51,0.67,5,225,4,0,1,0,RandD,low
0.29,0.8,3,116,10,1,0,0,RandD,low
0.66,0.78,7,232,6,0,0,0,support,low
0.57,0.39,4,197,4,0,0,0,support,low
0.38,0.92,7,285,4,0,0,0,marketing,medium
0.57,0.95,3,197,2,1,0,0,management,low
0.62,0.36,5,240,7,0,0,0,RandD,medium
0.65,0.84,4,147,8,1,0,0,marketing,medium
0.32,0.47,7,98,5,1,0,0,support,low
0.1,0.75,3,130,5,0,0,0,management,medium
0.02,0.43,6,217,4,0,0,0,IT,low
0.62,0.36,6,283,9,0,0,0,sales,medium
0.38,0.39,7,242,8,0,0,0,finance,medium
0.2,0.68,4,187,9,0,0,0,marketing,low
0.43,0.52,7,307,10,1,0,0,RandD,low
0.41,0.67,6,292,10,0,1,0,management,medium
0.42,0.64,2,119,5,0,0,0,support,low
0.31,0.36,6,169,6,0,0,0,support,low
0.53,0.67,4,126,7,0,0,0,IT,medium
0.18,0.76,5,141,6,0,1,0,technical,low
0.33,0.36,4,143,2,0,0,0,management,low
0.23,0.53,4,181,9,0,0,0,sales,medium
0.53,0.64,6,246,4,0,0,0,hr,medium
0.24,0.67,3,118,9,0,0,0,support,high
0.14,0.64,4,191,8,0,0,0,finance,medium
0.46,0.61,6,232,5,0,1,0,technical,medium
0.45,0.36,3,120,8,0,0,0,sales,low
0.14,0.39,2,124,4,0,0,0,RandD,medium
0.6,0.85,3,270,6,0,1,0,hr,medium
0.41,0.36,5,184,4,0,0,0,finance,high
0.29,0.43,2,109,9,1,1,0,support,low
0.06,0.59,7,291,10,1,1,0,RandD,low
0.54,0.61,7,215,10,0,0,0,management,low
0.44,0.76,7,265,4,0,0,0,RandD,medium
0.47,0.63,7,100,8,0,1,0,technical,medium
0.5,0.57,5,173,3,0,1,1,technical,low
0.09,0.63,3,222,3,0,0,0,sales,medium
0.31,0.51,2,224,10,0,0,0,sales,medium
0.62,0.36,2,125,9,0,1,1,IT,high
0.15,0.7,3,122,10,0,0,0,support,medium
0.37,0.56,6,277,10,1,0,0,IT,low
0.14,0.61,6,244,9,0,0,0,technical,low
0.52,0.36,7,250,5,0,0,0,marketing,medium
0.38,0.36,7,262,10,0,1,0,management,low
0.52,0.88,3,234,4,1,0,0,hr,low
0.49,0.36,4,283,10,0,0,0,marketing,low
0.71,0.63,3,275,10,0,0,0,support,low
0.73,0.6,3,137,6,0,0,0,RandD,medium
0.12,0.41,4,140,7,0,0,0,support,low
0.46,0.81,4,288,8,0,1,0,technical,low
0.73,0.78,2,260,6,0,0,0,finance,low
0.41,0.36,3,133,10,0,1,0,product_mng,low
0.8,0.78,7,122,4,1,0,0,marketing,low
0.33,0.82,3,163,8,0,0,0,finance,low
0.58,0.67,2,161,7,1,0,0,technical,high
0.77,0.51,6,161,8,0,0,0,sales,medium
0.19,0.45,5,300,5,0,1,0,marketing,medium
0.35,0.36,4,140,7,0,0,0,RandD,medium
0.76,0.6,6,253,9,0,1,0,sales,medium
0.48,0.36,4,283,9,0,0,0,sales,medium
0.51,0.58,2,191,5,0,0,0,support,low
0.6,0.36,3,128,4,0,1,0,support,low
0.36,0.52,3,244,4,0,0,0,management,low
0.53,0.85,3,147,7,1,1,0,hr,low
0.47,0.66,6,228,5,0,1,0,support,low
0.28,0.58,7,213,8,0,0,0,marketing,high
0.36,0.36,5,205,3,0,1,0,support,low
0.79,0.74,2,180,8,0,1,0,support,low
0.23,0.81,3,109,7,0,0,0,marketing,low
0.64,0.87,6,225,2,1,1,0,support,low
0.43,0.78,7,150,3,0,0,0,support,low
0.59,0.58,3,294,2,0,0,0,RandD,medium
0.6,0.69,6,114,10,0,0,0,IT,medium
0.46,0.76,4,284,7,1,0,0,finance,low
0.29,0.9,2,106,8,0,1,0,finance,medium
0.72,0.36,4,98,3,1,0,0,product_mng,low
0.62,0.45,7,241,7,0,0,0,RandD,low
0.45,0.67,5,269,10,1,0,0,IT,medium
0.44,0.36,6,195,9,0,0,0,hr,low
0.22,0.48,5,179,9,0,1,1,finance,medium
0.56,0.51,2,272,7,0,0,0,support,medium
0.72,0.71,5,100,6,0,1,0,technical,medium
0.2,0.48,7,289,8,0,0,0,technical,medium
0.22,0.49,2,252,10,1,0,0,technical,medium
0.39,0.46,5,199,4,1,1,0,technical,high
0.25,0.72,7,122,3,0,0,0,product_mng,low
0.38,0.73,4,169,10,0,0,0,technical,low
0.37,0.79,5,211,9,0,1,0,RandD,high
0.21,0.54,5,200,4,0,1,0,management,low
0.75,0.55,5,276,9,1,1,0,RandD,low
0.2,0.81,3,296,2,0,0,0,support,medium
0.38,0.7,6,192,4,0,1,0,management,medium
0.25,0.77,4,286,7,0,0,0,RandD,low
0.67,0.66,3,241,5,0,0,0,finance,low
0.42,0.67,4,262,9,0,1,0,hr,low
0.42,0.86,6,208,9,0,0,0,management,low
0.73,0.55,6,152,10,0,0,0,product_mng,medium
0.33,0.84,4,290,6,0,0,0,sales,low
0.47,0.9,3,109,8,0,1,0,support,high
0.24,0.36,4,234,3,0,0,0,technical,medium
0.39,0.91,3,150,7,0,1,0,RandD,medium
0.52,0.78,7,243,5,0,0,0,product_mng,low
0.21,0.76,5,272,9,0,0,0,IT,low
0.34,0.36,3,202,10,0,0,0,technical,medium
0.47,0.59,3,135,3,1,0,0,product_mng,low
0.15,0.77,6,248,7,0,0,0,support,low
0.52,0.55,3,127,7,0,0,0,support,medium
0.46,0.64,4,283,8,0,0,0,hr,low
0.31,0.38,7,173,3,0,1,0,support,medium
0.41,0.55,3,293,4,0,0,0,product_mng,high
0.78,0.78,4,185,9,0,0,0,finance,medium
0.16,0.36,4,310,10,0,0,0,marketing,low
0.38,0.41,6,193,4,0,0,0,marketing,medium
0.79,0.58,6,273,4,0,1,0,IT,medium
0.24,0.49,7,133,5,0,1,0,RandD,low
0.31,0.62,7,244,6,0,1,0,hr,medium
0.61,0.88,5,203,5,0,1,0,IT,low
0.44,0.69,2,160,8,0,0,0,product_mng,low
0.36,0.36,7,201,5,0,0,1,sales,medium
0.17,0.36,4,96,10,0,0,0,sales,medium
0.58,0.76,7,99,2,0,0,0,RandD,medium
0.78,0.38,5,169,7,0,0,0,support,low
0.39,0.36,4,265,8,1,0,0,IT,medium
0.58,0.92,3,170,8,0,0,0,finance,medium
0.29,0.7,2,227,8,0,0,0,management,high
0.25,0.86,4,216,3,0,0,0,hr,low
0.15,0.97,3,121,4,0,1,0,hr,low
0.48,0.36,4,295,7,0,0,0,RandD,medium
0.67,0.79,2,157,10,0,0,0,IT,medium
0.36,0.36,7,270,10,0,0,0,IT,medium
0.57,0.36,6,158,3,0,0,0,management,low
0.35,0.47,2,144,9,1,0,0,finance,low
0.53,0.87,7,101,2,1,0,0,marketing,medium
0.38,0.81,5,246,2,0,1,0,hr,low
0.08,0.36,5,99,8,1,0,0,hr,medium
0.24,0.45,4,210,9,1,0,0,technical,low
0.3,0.79,3,156,8,0,0,0,finance,medium
0.37,0.52,3,121,10,0,0,0,marketing,medium
0.49,0.78,7,205,7,0,1,0,management,low
0.13,0.62,7,250,5,0,0,0,technical,low
0.15,0.55,2,295,2,0,0,0,product_mng,medium
0.35,0.46,7,245,4,0,0,0,finance,low
0.66,0.36,2,133,2,1,0,0,finance,medium
0.47,0.59,3,103,2,0,0,0,product_mng,medium
0.19,0.86,7,286,7,0,1,1,finance,low
0.11,0.58,5,246,5,0,0,0,hr,low
0.3,0.67,3,235,6,0,1,0,RandD,high
0.39,0.36,3,114,8,0,0,0,sales,low
0.64,0.81,4,243,8,0,0,0,sales,medium
0.15,0.65,6,128,8,0,0,0,hr,medium
0.56,0.65,2,233,3,0,0,0,support,medium
0.24,0.36,7,298,7,0,0,0,support,low
0.68,0.77,4,193,5,0,0,0,finance,medium
0.56,0.71,2,294,7,0,0,0,technical,medium
0.55,0.65,3,115,2,0,1,0,IT,medium
0.62,0.96,2,229,2,1,0,0,sales,low
0.29,0.72,5,116,3,1,0,0,IT,medium
0.73,0.36,4,145,8,0,0,0,product_mng,high
0.36,0.77,2,129,6,0,1,0,management,low
0.53,0.7,2,123,5,0,0,0,technical,low
0.7,0.71,3,148,10,1,0,0,product_mng,low
0.09,0.67,5,235,3,0,0,0,finance,low
0.61,0.39,6,281,2,0,0,0,sales,high
0.58,0.81,5,181,8,0,0,0,marketing,low
0.56,0.36,3,149,9,0,1,0,IT,medium
0.2,0.77,6,160,3,0,0,0,marketing,low
0.22,0.55,3,146,3,0,0,0,hr,medium
0.35,0.36,4,109,3,0,1,0,management,low
0.4,0.47,7,132,10,0,1,0,support,medium
0.3,0.6,5,123,6,0,1,0,sales,medium
0.66,0.78,2,197,4,0,0,0,marketing,low
0.02,0.67,2,293,5,1,0,0,management,low
0.33,0.89,2,102,7,0,0,0,RandD,medium
0.16,0.6,6,126,5,0,1,0,product_mng,medium
0.73,0.57,4,227,7,0,0,0,product_mng,low
0.47,0.54,4,210,8,1,0,0,IT,low
0.36,0.65,4,122,9,0,1,0,finance,low
0.19,0.43,7,217,8,0,0,0,management,medium
0.47,0.81,7,134,7,1,0,0,hr,low
0.15,0.54,4,119,8,0,0,0,hr,low
0.45,0.76,7,129,9,0,1,0,finance,high
0.72,0.39,5,309,3,0,0,0,IT,medium
0.7,0.61,6,224,10,0,0,0,marketing,low
0.22,0.86,5,216,8,1,0,0,finance,low
0.68,0.36,5,203,10,0,0,0,marketing,high
0.07,0.95,4,182,2,0,0,0,management,medium
0.33,0.4,4,186,7,0,0,0,marketing,medium
0.23,0.36,2,151,10,0,0,0,support,medium
0.06,0.38,7,173,7,0,0,0,technical,high
0.56,0.47,4,263,8,0,1,0,technical,low
0.63,0.36,5,170,6,0,1,0,management,medium
0.61,0.73,5,283,8,1,0,0,hr,low
0.46,0.93,7,156,7,0,0,0,sales,medium
0.46,0.47,7,247,9,0,0,0,support,medium
0.77,0.36,3,247,4,0,0,0,management,low
0.31,0.53,7,152,2,0,0,0,product_mng,medium
0.48,0.36,6,211,10,0,0,0,hr,medium
0.26,0.92,5,146,4,0,0,0,sales,low
0.62,0.68,6,303,4,0,0,0,management,medium
0.6,0.62,4,295,5,0,1,0,IT,low
0.45,0.36,4,230,6,0,0,0,IT,low
0.46,0.86,7,169,9,0,0,0,hr,medium
0.39,0.85,2,159,9,0,0,0,marketing,medium
0.46,0.88,6,278,9,0,0,0,hr,medium
0.1,0.56,7,219,2,0,0,0,management,low
0.48,0.47,6,241,9,0,0,0,hr,medium
0.75,0.36,4,197,6,0,0,0,support,medium
0.29,0.45,6,218,4,0,1,0,management,low
0.45,0.42,7,143,6,0,0,0,marketing,low
0.35,0.85,4,292,6,0,0,0,hr,medium
0.27,0.76,2,231,2,0,1,0,RandD,low
0.59,0.58,4,196,10,0,0,0,marketing,low
0.3,0.36,4,295,6,0,0,0,technical,low
0.58,0.73,2,232,3,0,1,0,RandD,low
0.43,0.85,3,234,3,0,1,0,support,low
0.13,0.36,7,231,8,0,1,0,marketing,high
0.24,0.65,2,125,10,0,0,0,management,medium
0.43,0.6,6,267,6,0,1,0,IT,low
0.34,0.81,2,250,5,1,0,0,technical,medium
0.33,0.87,7,97,3,0,0,0,IT,low
0.39,0.76,5,299,5,0,0,0,marketing,medium
0.26,0.38,2,119,5,0,0,0,finance,low
0.19,0.55,4,254,10,0,0,0,IT,medium
0.48,0.75,5,148,8,0,0,0,RandD,medium
0.01,0.36,3,169,9,0,0,0,marketing,medium
0.3,0.86,6,154,2,0,0,0,sales,medium
0.47,0.44,6,241,8,0,0,0,IT,low
0.68,0.72,7,166,3,0,0,0,finance,low
0.35,0.85,2,202,9,0,0,0,technical,low
0.75,0.54,5,309,6,0,1,0,IT,medium
0.19,0.63,4,218,5,0,0,0,finance,medium
0.49,0.88,7,191,10,0,0,0,product_mng,medium
0.36,0.63,2,112,6,0,0,0,hr,medium
0.16,0.36,7,296,2,0,1,0,IT,medium
0.58,0.71,2,178,6,0,0,0,management,medium
0.38,0.36,2,274,8,0,1,0,RandD,low
0.15,0.8,6,140,10,0,0,0,IT,medium
0.5,0.36,5,200,6,1,0,0,hr,low
0.11,0.39,3,156,6,0,0,0,management,low
0.55,0.82,2,199,4,0,0,0,product_mng,low
0.23,0.59,5,96,6,0,0,0,finance,medium
0.87,0.65,2,125,6,0,0,0,support,medium
0.27,0.48,4,223,5,0,0,0,IT,medium
0.37,0.57,5,251,7,0,0,0,technical,low
0.48,0.6,7,125,10,0,0,0,product_mng,low
0.27,0.64,4,259,4,0,0,0,management,medium
0.63,0.36,7,118,4,0,1,0,sales,high
0.42,0.5,4,216,7,0,1,0,management,medium
0.07,0.67,7,271,6,0,0,0,technical,medium
0.13,0.5,5,301,9,0,0,0,management,medium
0.66,0.63,3,205,9,0,1,0,RandD,medium
0.36,0.62,2,271,10,0,0,0,support,medium
0.36,0.45,7,147,9,0,1,0,marketing,medium
0.35,0.49,7,129,6,0,0,0,technical,medium
0.2,0.56,2,255,8,0,0,0,sales,low
0.35,0.37,6,171,9,0,1,0,product_mng,medium
0.35,0.36,4,287,6,1,0,0,RandD,medium
0.85,0.36,2,173,4,0,0,0,technical,medium
0.43,0.86,6,132,9,0,0,0,IT,low
0.4,0.71,4,306,8,0,0,0,product_mng,low
0.38,0.41,7,174,10,0,0,0,hr,low
0.4,0.46,5,278,6,0,1,0,marketing,high
0.35,0.58,3,182,8,0,0,0,management,low
0.54,0.37,3,228,5,0,0,0,technical,low
0.34,0.6,7,227,2,0,0,0,product_mng,medium
0.67,0.52,3,141,4,0,0,0,support,low
0.33,0.82,5,125,5,0,0,0,management,low
0.6,0.67,7,233,10,0,0,0,marketing,low
0.64,0.77,6,153,5,0,0,0,support,medium
0.27,0.36,4,232,9,0,1,0,sales,medium
0.13,0.84,2,190,5,0,0,0,marketing,low
